target,lat_deg,lon_deg,on_land,priority,captured_step,captured_by,window_open,window_close
60,51.3327,-123.475,1,0.000384615,173,42,163,178
61,41.5765,-116.437,1,0.000384615,119,107,114,138
62,46.9259,136.416,1,0.000384615,57,144,47,72
63,-30.8949,-55.4033,1,0.000384615,110,144,87,114
64,47.3341,-5.22324,1,0.000384615,169,175,151,172
65,31.0557,-101.647,1,0.000384615,59,103,54,76
66,39.3372,94.6705,1,0.000384615,158,169,135,158
67,5.70002,102.801,1,0.000384615,90,127,89,112
68,1.8299,25.2423,1,0.000384615,49,74,47,66
69,33.3296,47.2753,1,0.000384615,37,160,19,40
70,17.4759,100.674,1,0.000384615,103,10,95,105
71,19.4405,46.1305,1,0.000384615,-1,-1,53,64
72,38.024,108.693,1,0.000384615,121,163,113,134
73,22.8435,45.9608,1,0.000384615,153,118,150,162
74,42.7919,-70.132,1,0.000384615,93,123,80,103
75,53.7544,77.6295,1,0.000384615,37,108,32,59
76,56.2939,120.877,1,0.000384615,52,21,45,61
77,13.4595,107.757,1,0.000384615,-1,-1,119,138
78,4.24678,-64.1012,1,0.000384615,25,129,24,35
79,63.4759,32.9741,1,0.000384615,-1,-1,93,117
80,-5.22855,34.0085,1,0.000384615,141,99,138,166
81,14.9002,35.1378,1,0.000384615,-1,-1,55,72
82,62.3314,82.3079,1,0.000384615,58,190,40,58
83,-25.4605,144.893,1,0.000384615,139,68,135,162
84,-4.20488,126.706,1,0.000384615,134,43,116,145
85,59.8951,123.604,1,0.000384615,152,188,151,179
86,-17.5024,-49.793,1,0.000384615,-1,-1,73,92
87,55.6013,91.6688,1,0.000384615,77,127,72,101
88,-11.431,-45.7873,1,0.000384615,117,158,117,132
89,45.318,128.608,1,0.000384615,-1,-1,58,84
90,27.3488,1.5336,1,0.000384615,-1,-1,71,83
91,37.395,98.0417,1,0.000384615,133,22,128,150
92,14.6298,2.69392,1,0.000384615,146,81,130,156
93,28.3711,9.21616,1,0.000384615,159,167,136,162
94,41.0163,-105.121,1,0.000384615,-1,-1,90,106
95,-6.82378,-41.814,1,0.000384615,-1,-1,35,49
96,43.0765,98.8464,1,0.000384615,-1,-1,154,165
97,71.5563,178.986,1,0.000384615,27,194,21,36
98,-84.9463,-27.3945,1,0.000384615,86,170,83,99
99,11.5581,-71.8943,1,0.000384615,-1,-1,98,118
100,50.8697,-120.824,1,0.000384615,172,55,163,178
101,42.8611,-116.169,1,0.000384615,-1,-1,114,138
102,46.24,136.424,1,0.000384615,58,144,47,72
103,-32.1153,-56.5407,1,0.000384615,-1,-1,87,114
104,47.1336,-3.55659,1,0.000384615,168,175,151,172
105,31.6521,-103.496,1,0.000384615,69,102,54,76
106,37.8594,97.2471,1,0.000384615,156,31,135,158
107,5.66431,101.831,1,0.000384615,100,126,89,112
108,1.91003,24.6792,1,0.000384615,49,74,47,66
109,31.2952,49.2072,1,0.000384615,27,161,19,40
110,16.0813,101.264,1,0.000384615,97,126,95,105
111,19.328,44.9576,1,0.000384615,-1,-1,53,64
112,34.7481,109.199,1,0.000384615,128,151,113,134
113,24.7744,43.677,1,0.000384615,158,106,150,162
114,42.8102,-71.5233,1,0.000384615,103,122,80,103
115,52.0838,76.9084,1,0.000384615,41,133,32,59
116,54.5101,119.071,1,0.000384615,61,20,45,61
117,11.3272,105.862,1,0.000384615,124,136,119,138
118,5.00828,-63.5932,1,0.000384615,26,129,24,35
119,63.6736,31.96,1,0.000384615,-1,-1,93,117
120,-8.82072,32.546,1,0.000384615,144,199,138,166
121,15.05,35.7099,1,0.000384615,-1,-1,55,72
122,60.5984,83.0933,1,0.000384615,49,188,40,58
123,-25.996,143.799,1,0.000384615,-1,-1,135,162
124,-4.662,125.45,1,0.000384615,133,43,116,145
125,55.6636,126.669,1,0.000384615,-1,-1,151,179
126,-16.4996,-48.7909,1,0.000384615,-1,-1,73,92
127,56.7924,84.9207,1,0.000384615,79,8,72,101
128,-11.8581,-45.8083,1,0.000384615,119,40,117,132
129,43.3324,128.222,1,0.000384615,83,13,58,84
130,28.786,1.36955,1,0.000384615,-1,-1,71,83
131,35.8077,94.7164,1,0.000384615,-1,-1,128,150
132,13.3943,2.34039,1,0.000384615,156,80,130,156
133,29.1335,7.67415,1,0.000384615,139,169,136,162
134,41.1593,-102.302,1,0.000384615,-1,-1,90,106
135,-6.16907,-42.0145,1,0.000384615,-1,-1,35,49
136,40.7035,99.1735,1,0.000384615,-1,-1,154,165
137,70.7625,177.094,1,0.000384615,30,4,21,36
138,-86.461,-29.9465,1,0.000384615,94,179,83,99
139,11.6469,-69.7303,1,0.000384615,-1,-1,98,118
140,50.9877,-124.786,1,0.000384615,173,42,163,178
141,42.7888,-117.358,1,0.000384615,120,107,114,138
142,46.4065,137.877,1,0.000384615,-1,-1,47,72
143,-30.5739,-57.3211,1,0.000384615,111,158,87,114
144,47.1903,-1.74278,1,0.000384615,159,176,151,172
145,30.9612,-101.948,1,0.000384615,59,103,54,76
146,37.9106,94.865,1,0.000384615,144,159,135,158
147,6.73179,101.896,1,0.000384615,89,127,89,112
148,2.11949,24.8486,1,0.000384615,49,74,47,66
149,31.5213,47.9443,1,0.000384615,-1,-1,19,40
150,17.2501,102.12,1,0.000384615,96,126,95,105
151,20.4015,43.4113,1,0.000384615,56,186,53,64
152,38.0475,109.788,1,0.000384615,131,162,113,134
153,23.5542,44.8544,1,0.000384615,150,107,150,162
154,43.0105,-70.9546,1,0.000384615,91,91,80,103
155,53.2283,76.0056,1,0.000384615,37,189,32,59
156,55.7912,120.729,1,0.000384615,47,33,45,61
157,12.9397,106.42,1,0.000384615,131,33,119,138
158,3.85985,-63.1095,1,0.000384615,-1,-1,24,35
159,64.0193,33.7299,1,0.000384615,-1,-1,93,117
160,-8.17683,34.7174,1,0.000384615,152,98,138,166
161,15.8122,35.294,1,0.000384615,57,97,55,72
162,61.5433,81.0273,1,0.000384615,57,190,40,58
163,-25.8438,143.38,1,0.000384615,148,67,135,162
164,-3.27597,125.446,1,0.000384615,128,148,116,145
165,57.398,123.637,1,0.000384615,-1,-1,151,179
166,-16.7847,-48.4641,1,0.000384615,-1,-1,73,92
167,55.6775,85.8268,1,0.000384615,78,185,72,101
168,-10.953,-45.4176,1,0.000384615,118,40,117,132
169,45.2636,128.811,1,0.000384615,-1,-1,58,84
170,29.1611,0.28891,1,0.000384615,-1,-1,71,83
171,35.2361,94.7175,1,0.000384615,135,150,128,150
172,15.3,1.14589,1,0.000384615,135,169,130,156
173,29.6077,7.90166,1,0.000384615,139,98,136,162
174,41.2019,-101.227,1,0.000384615,-1,-1,90,106
175,-6.61729,-41.1309,1,0.000384615,-1,-1,35,49
176,42.0174,100.209,1,0.000384615,-1,-1,154,165
177,71.6175,179.971,1,0.000384615,27,194,21,36
178,-86.1872,-23.1214,1,0.000384615,-1,-1,83,99
179,10.3633,-70.8747,1,0.000384615,-1,-1,98,118
180,51.9941,-123.429,1,0.000384615,169,68,163,178
181,43.2172,-116.249,1,0.000384615,-1,-1,114,138
182,47.6987,137.305,1,0.000384615,57,144,47,72
183,-31.8711,-57.0315,1,0.000384615,90,17,87,114
184,46.232,-2.07518,1,0.000384615,158,176,151,172
185,30.5128,-101.315,1,0.000384615,-1,-1,54,76
186,38.1,95.4655,1,0.000384615,155,158,135,158
187,5.66148,102.471,1,0.000384615,90,127,89,112
188,1.34284,24.3849,1,0.000384615,-1,-1,47,66
189,31.5272,48.762,1,0.000384615,27,161,19,40
190,16.96,103.63,1,0.000384615,-1,-1,95,105
191,20.3806,43.9152,1,0.000384615,56,186,53,64
192,35.9137,108.186,1,0.000384615,127,151,113,134
193,23.305,44.2917,1,0.000384615,159,106,150,162
194,44.9068,-70.9792,1,0.000384615,80,55,80,103
195,53.3717,78.2393,1,0.000384615,35,192,32,59
196,55.4718,119.232,1,0.000384615,57,32,45,61
197,11.9324,105.951,1,0.000384615,124,136,119,138
198,5.79085,-63.6864,1,0.000384615,-1,-1,24,35
199,62.16,32.3032,1,0.000384615,-1,-1,93,117
200,-8.18419,31.9801,1,0.000384615,143,199,138,166
201,13.7954,35.4166,1,0.000384615,-1,-1,55,72
202,61.3754,81.6018,1,0.000384615,57,190,40,58
203,-26.1502,143.746,1,0.000384615,-1,-1,135,162
204,-3.02861,125.893,1,0.000384615,128,148,116,145
205,58.9573,123.249,1,0.000384615,171,186,151,179
206,-16.7394,-49.4889,1,0.000384615,-1,-1,73,92
207,55.4571,85.557,1,0.000384615,75,198,72,101
208,-12.686,-49.3549,1,0.000384615,125,143,117,132
209,44.4417,128.918,1,0.000384615,64,169,58,84
210,28.0923,2.59134,1,0.000384615,-1,-1,71,83
211,36.8332,96.5524,1,0.000384615,-1,-1,128,150
212,14.2982,2.94655,1,0.000384615,131,178,130,156
213,30.5582,9.36481,1,0.000384615,150,168,136,162
214,40.7377,-102.103,1,0.000384615,-1,-1,90,106
215,-7.40074,-41.755,1,0.000384615,-1,-1,35,49
216,40.7626,99.4047,1,0.000384615,-1,-1,154,165
217,70.3513,-179.754,1,0.000384615,-1,-1,21,36
218,-85.5115,-10.5271,1,0.000384615,-1,-1,83,99
219,11.4003,-69.5688,1,0.000384615,114,39,98,118
220,51.7447,-121.68,1,0.000384615,163,43,163,178
221,43.8458,-117.141,1,0.000384615,-1,-1,114,138
222,45.2792,136.815,1,0.000384615,68,143,47,72
223,-31.61,-55.9863,1,0.000384615,91,150,87,114
224,47.6758,-3.89316,1,0.000384615,159,116,151,172
225,30.0517,-103.212,1,0.000384615,74,92,54,76
226,39.4205,94.2497,1,0.000384615,158,169,135,158
227,5.87742,101.221,1,0.000384615,99,126,89,112
228,0.632972,23.6434,1,0.000384615,51,176,47,66
229,31.6598,49.1539,1,0.000384615,27,161,19,40
230,15.7882,102.089,1,0.000384615,97,126,95,105
231,19.8958,43.2491,1,0.000384615,-1,-1,53,64
232,36.4356,109.411,1,0.000384615,118,152,113,134
233,24.0986,44.2007,1,0.000384615,153,199,150,162
234,42.8669,-68.4222,1,0.000384615,84,124,80,103
235,52.4975,79.7122,1,0.000384615,35,192,32,59
236,54.1611,118.948,1,0.000384615,51,21,45,61
237,13.0742,106.983,1,0.000384615,131,33,119,138
238,3.63517,-61.7,1,0.000384615,35,128,24,35
239,63.1713,31.6604,1,0.000384615,-1,-1,93,117
240,-7.46443,31.6841,1,0.000384615,-1,-1,138,166
241,15.4078,34.383,1,0.000384615,57,97,55,72
242,59.4846,79.2581,1,0.000384615,56,190,40,58
243,-25.4784,144.433,1,0.000384615,139,68,135,162
244,-2.97888,128.113,1,0.000384615,124,44,116,145
245,58.909,126.373,1,0.000384615,162,187,151,179
246,-16.6225,-49.2351,1,0.000384615,-1,-1,73,92
247,54.4517,86.0247,1,0.000384615,86,126,72,101
248,-12.3497,-45.477,1,0.000384615,119,40,117,132
249,42.8558,130.424,1,0.000384615,73,14,58,84
250,27.8855,1.29842,1,0.000384615,80,70,71,83
251,37.6945,98.2644,1,0.000384615,133,22,128,150
252,14.0632,1.49937,1,0.000384615,140,177,130,156
253,28.7396,9.38625,1,0.000384615,159,167,136,162
254,41.1612,-102.702,1,0.000384615,-1,-1,90,106
255,-5.48017,-41.6512,1,0.000384615,-1,-1,35,49
256,41.7456,99.7868,1,0.000384615,-1,-1,154,165
257,72.1892,-173.918,1,0.000384615,-1,-1,21,36
258,-86.0123,-45.0481,1,0.000384615,83,35,83,99
259,10.0732,-69.5147,1,0.000384615,-1,-1,98,118
260,52.5762,-123.557,1,0.000384615,170,68,163,178
261,42.7128,-120.255,1,0.000384615,138,105,114,138
262,47.5564,137.298,1,0.000384615,57,144,47,72
263,-31.6423,-56.2105,1,0.000384615,91,150,87,114
264,47.3633,-4.05246,1,0.000384615,159,116,151,172
265,29.9377,-101.617,1,0.000384615,64,93,54,76
266,39.1776,92.0287,1,0.000384615,-1,-1,135,158
267,5.91544,100.966,1,0.000384615,99,126,89,112
268,1.60182,26.497,1,0.000384615,-1,-1,47,66
269,33.2631,47.8172,1,0.000384615,37,160,19,40
270,17.4384,101.632,1,0.000384615,96,126,95,105
271,19.7804,45.7097,1,0.000384615,-1,-1,53,64
272,37.0413,109.039,1,0.000384615,118,19,113,134
273,25.7131,45.6578,1,0.000384615,-1,-1,150,162
274,44.5295,-70.7895,1,0.000384615,80,55,80,103
275,53.0889,78.6389,1,0.000384615,35,192,32,59
276,54.9462,118.347,1,0.000384615,61,20,45,61
277,12.3214,106.708,1,0.000384615,121,34,119,138
278,6.51542,-62.2584,1,0.000384615,-1,-1,24,35
279,63.911,30.8704,1,0.000384615,-1,-1,93,117
280,-7.03594,31.5721,1,0.000384615,-1,-1,138,166
281,16.1148,35.1635,1,0.000384615,56,97,55,72
282,62.0845,83.6104,1,0.000384615,48,191,40,58
283,-24.4168,144.88,1,0.000384615,140,68,135,162
284,-1.571,126.187,1,0.000384615,118,149,116,145
285,57.2707,123.979,1,0.000384615,-1,-1,151,179
286,-15.7473,-49.1426,1,0.000384615,-1,-1,73,92
287,53.4623,85.3244,1,0.000384615,78,8,72,101
288,-12.7958,-46.6378,1,0.000384615,129,49,117,132
289,46.0647,127.417,1,0.000384615,63,31,58,84
290,29.2172,-0.0963745,1,0.000384615,-1,-1,71,83
291,35.5035,98.6514,1,0.000384615,146,32,128,150
292,13.9495,3.33144,1,0.000384615,131,178,130,156
293,28.9431,6.66476,1,0.000384615,138,169,136,162
294,41.6375,-100.114,1,0.000384615,-1,-1,90,106
295,-6.77406,-41.7323,1,0.000384615,-1,-1,35,49
296,41.7477,98.2328,1,0.000384615,-1,-1,154,165
297,70.5401,-179.219,1,0.000384615,21,5,21,36
298,-86.1603,-34.7615,1,0.000384615,94,179,83,99
299,11.3738,-68.777,1,0.000384615,114,39,98,118
300,52.9712,-123.314,1,0.000384615,170,68,163,178
301,42.8027,-117.798,1,0.000384615,120,107,114,138
302,46.0643,139.956,1,0.000384615,66,15,47,72
303,-30.9233,-53.91,1,0.000384615,-1,-1,87,114
304,47.4911,-3.29008,1,0.000384615,159,116,151,172
305,31.3173,-102.893,1,0.000384615,-1,-1,54,76
306,35.9526,94.0754,1,0.000384615,-1,-1,135,158
307,6.4314,101.884,1,0.000384615,105,24,89,112
308,-0.781451,24.8912,1,0.000384615,-1,-1,47,66
309,32.4319,49.0091,1,0.000384615,-1,-1,19,40
310,16.2498,103.518,1,0.000384615,-1,-1,95,105
311,21.1475,45.2398,1,0.000384615,-1,-1,53,64
312,36.8879,109.79,1,0.000384615,117,152,113,134
313,24.2366,45.0024,1,0.000384615,152,118,150,162
314,45.9083,-69.4032,1,0.000384615,81,55,80,103
315,52.3768,77.2491,1,0.000384615,32,134,32,59
316,55.1699,120.673,1,0.000384615,47,33,45,61
317,11.2622,106.19,1,0.000384615,124,136,119,138
318,3.53492,-62.9937,1,0.000384615,-1,-1,24,35
319,61.3369,32.5536,1,0.000384615,-1,-1,93,117
320,-7.73314,33.5159,1,0.000384615,151,98,138,166
321,13.6977,35.0264,1,0.000384615,-1,-1,55,72
322,59.9977,85.8041,1,0.000384615,40,189,40,58
323,-25.6829,144.161,1,0.000384615,139,68,135,162
324,-3.33049,125.506,1,0.000384615,128,148,116,145
325,57.7694,126.276,1,0.000384615,172,186,151,179
326,-18.1516,-49.6581,1,0.000384615,-1,-1,73,92
327,54.4672,89.293,1,0.000384615,98,6,72,101
328,-13.584,-45.2411,1,0.000384615,130,49,117,132
329,45.0261,128.362,1,0.000384615,-1,-1,58,84
330,28.5145,2.99918,1,0.000384615,-1,-1,71,83
331,36.6499,96.7223,1,0.000384615,-1,-1,128,150
332,14.7017,4.19653,1,0.000384615,-1,-1,130,156
333,28.8961,7.75778,1,0.000384615,139,169,136,162
334,43.1562,-103.364,1,0.000384615,98,40,90,106
335,-8.10773,-41.804,1,0.000384615,-1,-1,35,49
336,40.6413,98.7,1,0.000384615,159,169,154,165
337,71.2966,176.356,1,0.000384615,30,4,21,36
338,-86.8712,-22.1198,1,0.000384615,-1,-1,83,99
339,10.3118,-71.0934,1,0.000384615,-1,-1,98,118
340,50.8192,-121.368,1,0.000384615,172,55,163,178
341,42.9629,-116.437,1,0.000384615,-1,-1,114,138
342,46.8912,138.174,1,0.000384615,47,145,47,72
343,-32.5266,-59.1563,1,0.000384615,100,16,87,114
344,49.0444,-4.58711,1,0.000384615,160,176,151,172
345,30.3017,-103.972,1,0.000384615,68,102,54,76
346,38.3055,94.2549,1,0.000384615,-1,-1,135,158
347,7.66578,102.038,1,0.000384615,106,24,89,112
348,1.65438,25.3638,1,0.000384615,49,74,47,66
349,32.8936,49.8318,1,0.000384615,28,161,19,40
350,16.4468,103.444,1,0.000384615,-1,-1,95,105
351,20.5419,42.979,1,0.000384615,-1,-1,53,64
352,36.8618,110.539,1,0.000384615,117,152,113,134
353,24.5037,42.9894,1,0.000384615,161,117,150,162
354,44.0816,-72.7397,1,0.000384615,81,92,80,103
355,52.8338,77.3793,1,0.000384615,32,134,32,59
356,54.7024,119.522,1,0.000384615,-1,-1,45,61
357,12.8707,106.021,1,0.000384615,123,136,119,138
358,5.10708,-61.8865,1,0.000384615,-1,-1,24,35
359,63.5038,31.1111,1,0.000384615,-1,-1,93,117
360,-8.20233,31.9793,1,0.000384615,143,199,138,166
361,14.5996,34.9031,1,0.000384615,67,96,55,72
362,62.5611,80.4417,1,0.000384615,-1,-1,40,58
363,-24.9819,143.5,1,0.000384615,149,67,135,162
364,-2.2048,126.174,1,0.000384615,118,149,116,145
365,57.0572,127.08,1,0.000384615,-1,-1,151,179
366,-16.7537,-49.8447,1,0.000384615,-1,-1,73,92
367,56.0636,88.7952,1,0.000384615,76,127,72,101
368,-11.1956,-46.7177,1,0.000384615,117,158,117,132
369,45.7441,128.921,1,0.000384615,-1,-1,58,84
370,27.446,0.943192,1,0.000384615,83,153,71,83
371,35.3255,97.136,1,0.000384615,-1,-1,128,150
372,13.8949,2.70085,1,0.000384615,-1,-1,130,156
373,27.9536,7.01213,1,0.000384615,148,168,136,162
374,40.1552,-102.098,1,0.000384615,-1,-1,90,106
375,-5.88698,-42.2882,1,0.000384615,-1,-1,35,49
376,43.3524,98.042,1,0.000384615,158,31,154,165
377,71.4358,179.213,1,0.000384615,31,4,21,36
378,-85.5173,-22.9253,1,0.000384615,95,179,83,99
379,9.60162,-70.3789,1,0.000384615,-1,-1,98,118
380,51.8057,-121.98,1,0.000384615,163,43,163,178
381,42.6279,-117.847,1,0.000384615,120,107,114,138
382,47.2071,138.022,1,0.000384615,47,145,47,72
383,-30.761,-55.5972,1,0.000384615,110,144,87,114
384,48.6543,-3.34967,1,0.000384615,158,130,151,172
385,31.8698,-102.843,1,0.000384615,60,103,54,76
386,37.5013,94.9312,1,0.000384615,144,159,135,158
387,8.19008,100.39,1,0.000384615,-1,-1,89,112
388,2.14097,23.7674,1,0.000384615,52,176,47,66
389,32.949,46.1701,1,0.000384615,-1,-1,19,40
390,17.3296,102.635,1,0.000384615,-1,-1,95,105
391,19.1253,44.1075,1,0.000384615,55,186,53,64
392,38.8024,112.703,1,0.000384615,129,18,113,134
393,24.9329,46.5672,1,0.000384615,-1,-1,150,162
394,44.3441,-70.3306,1,0.000384615,91,54,80,103
395,53.485,77.5995,1,0.000384615,37,108,32,59
396,54.375,120.758,1,0.000384615,56,32,45,61
397,13.0591,106.934,1,0.000384615,131,33,119,138
398,3.22375,-63.6436,1,0.000384615,34,128,24,35
399,61.646,38.8328,1,0.000384615,-1,-1,93,117
400,-6.316,31.8101,1,0.000384615,160,97,138,166
401,14.7191,34.6945,1,0.000384615,67,96,55,72
402,61.4971,81.0534,1,0.000384615,57,190,40,58
403,-25.6494,144.021,1,0.000384615,139,68,135,162
404,-2.72731,126.204,1,0.000384615,129,148,116,145
405,58.1494,124.324,1,0.000384615,-1,-1,151,179
406,-16.0198,-49.1824,1,0.000384615,-1,-1,73,92
407,55.9286,85.5063,1,0.000384615,78,185,72,101
408,-13.5198,-47.7321,1,0.000384615,-1,-1,117,132
409,45.3643,126.844,1,0.000384615,-1,-1,58,84
410,27.5548,-0.320465,1,0.000384615,79,70,71,83
411,34.9844,97.4806,1,0.000384615,146,159,128,150
412,14.8968,2.80586,1,0.000384615,146,81,130,156
413,29.8499,8.15834,1,0.000384615,139,98,136,162
414,41.6996,-99.5376,1,0.000384615,99,40,90,106
415,-7.30702,-40.4448,1,0.000384615,-1,-1,35,49
416,41.55,98.0908,1,0.000384615,-1,-1,154,165
417,71.5361,178.871,1,0.000384615,27,194,21,36
418,-86.3766,-28.2548,1,0.000384615,94,179,83,99
419,11.1515,-69.9732,1,0.000384615,115,39,98,118
420,51.6512,-121.59,1,0.000384615,163,43,163,178
421,41.6646,-120.689,1,0.000384615,-1,-1,114,138
422,46.2577,136.289,1,0.000384615,58,144,47,72
423,-30.0041,-58.9022,1,0.000384615,87,33,87,114
424,48.3365,-4.32307,1,0.000384615,-1,-1,151,172
425,30.8863,-102.319,1,0.000384615,59,103,54,76
426,38.7708,93.9861,1,0.000384615,154,158,135,158
427,6.89799,101.915,1,0.000384615,89,127,89,112
428,0.982867,23.8588,1,0.000384615,51,176,47,66
429,34.4108,47.963,1,0.000384615,-1,-1,19,40
430,16.0734,101.443,1,0.000384615,97,126,95,105
431,21.2004,43.3604,1,0.000384615,-1,-1,53,64
432,37.2805,110.898,1,0.000384615,127,34,113,134
433,23.7622,45.4177,1,0.000384615,150,107,150,162
434,45.3193,-70.1693,1,0.000384615,90,54,80,103
435,53.7967,77.1917,1,0.000384615,37,108,32,59
436,56.8421,121.341,1,0.000384615,53,21,45,61
437,12.4132,106.968,1,0.000384615,121,34,119,138
438,4.06037,-62.0186,1,0.000384615,35,128,24,35
439,62.791,30.3227,1,0.000384615,-1,-1,93,117
440,-8.03473,31.229,1,0.000384615,153,198,138,166
441,15.5397,34.131,1,0.000384615,66,96,55,72
442,61.476,82.8783,1,0.000384615,47,191,40,58
443,-25.879,143.835,1,0.000384615,-1,-1,135,162
444,-1.78024,126.633,1,0.000384615,118,149,116,145
445,57.1321,123.179,1,0.000384615,151,144,151,179
446,-16.5587,-49.5945,1,0.000384615,-1,-1,73,92
447,56.7191,84.424,1,0.000384615,79,8,72,101
448,-10.1141,-46.4795,1,0.000384615,-1,-1,117,132
449,44.1204,127.132,1,0.000384615,74,168,58,84
450,26.627,0.956787,1,0.000384615,73,154,71,83
451,36.9594,97.8723,1,0.000384615,142,21,128,150
452,13.9969,4.11063,1,0.000384615,-1,-1,130,156
453,28.7401,8.28741,1,0.000384615,149,97,136,162
454,41.2591,-102.301,1,0.000384615,-1,-1,90,106
455,-6.77173,-41.2669,1,0.000384615,-1,-1,35,49
456,40.8847,99.3834,1,0.000384615,-1,-1,154,165
457,72.2595,-177.064,1,0.000384615,-1,-1,21,36
458,-83.8286,-17.2714,1,0.000384615,-1,-1,83,99
459,9.80998,-69.2572,1,0.000384615,-1,-1,98,118
460,51.5367,-122.106,1,0.000384615,163,43,163,178
461,42.8932,-117.831,1,0.000384615,120,107,114,138
462,46.5936,139.573,1,0.000384615,-1,-1,47,72
463,-31.0792,-56.3551,1,0.000384615,-1,-1,87,114
464,46.3728,-2.40703,1,0.000384615,-1,-1,151,172
465,30.8446,-100.996,1,0.000384615,-1,-1,54,76
466,37.0899,94.5298,1,0.000384615,-1,-1,135,158
467,6.33339,100.706,1,0.000384615,-1,-1,89,112
468,2.37985,26.3738,1,0.000384615,-1,-1,47,66
469,32.139,47.6715,1,0.000384615,-1,-1,19,40
470,16.703,102.451,1,0.000384615,99,25,95,105
471,19.0634,46.1633,1,0.000384615,-1,-1,53,64
472,37.2935,110.663,1,0.000384615,117,152,113,134
473,24.15,43.6388,1,0.000384615,153,199,150,162
474,45.5478,-71.668,1,0.000384615,82,92,80,103
475,52.8451,77.2152,1,0.000384615,32,134,32,59
476,55.1037,119.781,1,0.000384615,47,33,45,61
477,12.0715,105.193,1,0.000384615,130,33,119,138
478,3.79393,-63.1765,1,0.000384615,-1,-1,24,35
479,62.2028,33.3505,1,0.000384615,-1,-1,93,117
480,-7.96258,32.1707,1,0.000384615,154,198,138,166
481,14.6478,33.7755,1,0.000384615,-1,-1,55,72
482,62.2962,88.1127,1,0.000384615,50,188,40,58
483,-25.3334,144.379,1,0.000384615,139,68,135,162
