target,lat_deg,lon_deg,on_land,priority,captured_step,captured_by
269,33.2631,47.8172,1,0.000384615,5,53
270,17.4384,101.632,1,0.000384615,44,63
271,19.7804,45.7097,1,0.000384615,77,56
272,37.0413,109.039,1,0.000384615,151,72
273,25.7131,45.6578,1,0.000384615,96,54
274,44.5295,-70.7895,1,0.000384615,18,47
275,53.0889,78.6389,1,0.000384615,88,7
276,54.9462,118.347,1,0.000384615,30,74
277,12.3214,106.708,1,0.000384615,16,66
278,6.51542,-62.2584,1,0.000384615,22,61
279,63.911,30.8704,1,0.000384615,47,71
280,-7.03594,31.5721,1,0.000384615,37,94
281,16.1148,35.1635,1,0.000384615,23,49
282,62.0845,83.6104,1,0.000384615,26,81
283,-24.4168,144.88,1,0.000384615,49,29
284,-1.571,126.187,1,0.000384615,1,10
285,57.2707,123.979,1,0.000384615,12,83
286,-15.7473,-49.1426,1,0.000384615,5,15
287,53.4623,85.3244,1,0.000384615,68,9
288,-12.7958,-46.6378,1,0.000384615,100,73
289,46.0647,127.417,1,0.000384615,5,90
290,29.2172,-0.0963745,1,0.000384615,83,42
291,35.5035,98.6514,1,0.000384615,18,98
292,13.9495,3.33144,1,0.000384615,37,37
293,28.9431,6.66476,1,0.000384615,33,37
294,41.6375,-100.114,1,0.000384615,5,13
295,-6.77406,-41.7323,1,0.000384615,72,76
296,41.7477,98.2328,1,0.000384615,9,99
297,70.5401,-179.219,1,0.000384615,12,37
298,-86.1603,-34.7615,1,0.000384615,6,33
299,11.3738,-68.777,1,0.000384615,72,66
300,52.9712,-123.314,1,0.000384615,9,7
301,42.8027,-117.798,1,0.000384615,1,13
302,46.0643,139.956,1,0.000384615,14,76
303,-30.9233,-53.91,1,0.000384615,66,76
304,47.4911,-3.29008,1,0.000384615,2,75
305,31.3173,-102.893,1,0.000384615,30,45
306,35.9526,94.0754,1,0.000384615,178,79
307,6.4314,101.884,1,0.000384615,117,18
308,-0.781451,24.8912,1,0.000384615,86,99
309,32.4319,49.0091,1,0.000384615,45,59
310,16.2498,103.518,1,0.000384615,15,66
311,21.1475,45.2398,1,0.000384615,117,52
312,36.8879,109.79,1,0.000384615,112,76
313,24.2366,45.0024,1,0.000384615,66,57
314,45.9083,-69.4032,1,0.000384615,19,47
315,52.3768,77.2491,1,0.000384615,97,6
316,55.1699,120.673,1,0.000384615,39,73
317,11.2622,106.19,1,0.000384615,26,65
318,3.53492,-62.9937,1,0.000384615,21,61
319,61.3369,32.5536,1,0.000384615,18,74
320,-7.73314,33.5159,1,0.000384615,57,92
321,13.6977,35.0264,1,0.000384615,4,41
322,59.9977,85.8041,1,0.000384615,85,85
323,-25.6829,144.161,1,0.000384615,10,68
324,-3.33049,125.506,1,0.000384615,12,67
325,57.7694,126.276,1,0.000384615,13,83
326,-18.1516,-49.6581,1,0.000384615,88,74
327,54.4672,89.293,1,0.000384615,50,1
328,-13.584,-45.2411,1,0.000384615,61,77
329,45.0261,128.362,1,0.000384615,4,90
330,28.5145,2.99918,1,0.000384615,75,43
331,36.6499,96.7223,1,0.000384615,17,98
332,14.7017,4.19653,1,0.000384615,66,85
333,28.8961,7.75778,1,0.000384615,45,46
334,43.1562,-103.364,1,0.000384615,3,8
335,-8.10773,-41.804,1,0.000384615,62,77
336,40.6413,98.7,1,0.000384615,8,5
337,71.2966,176.356,1,0.000384615,2,38
338,-86.8712,-22.1198,1,0.000384615,110,32
339,10.3118,-71.0934,1,0.000384615,81,65
340,50.8192,-121.368,1,0.000384615,20,6
341,42.9629,-116.437,1,0.000384615,12,12
342,46.8912,138.174,1,0.000384615,4,77
343,-32.5266,-59.1563,1,0.000384615,103,72
344,49.0444,-4.58711,1,0.000384615,12,74
345,30.3017,-103.972,1,0.000384615,26,6
346,38.3055,94.2549,1,0.000384615,6,5
347,7.66578,102.038,1,0.000384615,75,60
348,1.65438,25.3638,1,0.000384615,84,43
349,32.8936,49.8318,1,0.000384615,46,59
350,16.4468,103.444,1,0.000384615,15,66
351,20.5419,42.979,1,0.000384615,86,55
352,36.8618,110.539,1,0.000384615,111,76
353,24.5037,42.9894,1,0.000384615,75,56
354,44.0816,-72.7397,1,0.000384615,7,48
355,52.8338,77.3793,1,0.000384615,97,6
356,54.7024,119.522,1,0.000384615,10,76
357,12.8707,106.021,1,0.000384615,100,10
358,5.10708,-61.8865,1,0.000384615,18,13
359,63.5038,31.1111,1,0.000384615,47,71
360,-8.20233,31.9793,1,0.000384615,27,95
361,14.5996,34.9031,1,0.000384615,33,48
362,62.5611,80.4417,1,0.000384615,7,83
363,-24.9819,143.5,1,0.000384615,1,69
364,-2.2048,126.174,1,0.000384615,121,22
365,57.0572,127.08,1,0.000384615,20,75
366,-16.7537,-49.8447,1,0.000384615,15,14
367,56.0636,88.7952,1,0.000384615,60,0
368,-11.1956,-46.7177,1,0.000384615,90,74
369,45.7441,128.921,1,0.000384615,15,99
370,27.446,0.943192,1,0.000384615,62,34
371,35.3255,97.136,1,0.000384615,10,66
372,13.8949,2.70085,1,0.000384615,94,82
373,27.9536,7.01213,1,0.000384615,24,38
374,40.1552,-102.098,1,0.000384615,25,11
375,-5.88698,-42.2882,1,0.000384615,63,77
376,43.3524,98.042,1,0.000384615,88,91
377,71.4358,179.213,1,0.000384615,1,7
378,-85.5173,-22.9253,1,0.000384615,101,33
379,9.60162,-70.3789,1,0.000384615,36,11
380,51.8057,-121.98,1,0.000384615,10,7
381,42.6279,-117.847,1,0.000384615,1,13
382,47.2071,138.022,1,0.000384615,4,77
383,-30.761,-55.5972,1,0.000384615,95,73
384,48.6543,-3.34967,1,0.000384615,10,49
385,31.8698,-102.843,1,0.000384615,30,45
386,37.5013,94.9312,1,0.000384615,6,5
387,8.19008,100.39,1,0.000384615,85,69
388,2.14097,23.7674,1,0.000384615,93,42
389,32.949,46.1701,1,0.000384615,14,52
390,17.3296,102.635,1,0.000384615,14,66
391,19.1253,44.1075,1,0.000384615,84,90
392,38.8024,112.703,1,0.000384615,1,90
393,24.9329,46.5672,1,0.000384615,57,58
394,44.3441,-70.3306,1,0.000384615,18,47
395,53.485,77.5995,1,0.000384615,98,6
396,54.375,120.758,1,0.000384615,40,73
397,13.0591,106.934,1,0.000384615,45,63
398,3.22375,-63.6436,1,0.000384615,38,11
399,61.646,38.8328,1,0.000384615,128,80
400,-6.316,31.8101,1,0.000384615,37,94
401,14.7191,34.6945,1,0.000384615,3,41
402,61.4971,81.0534,1,0.000384615,6,83
403,-25.6494,144.021,1,0.000384615,10,68
404,-2.72731,126.204,1,0.000384615,3,68
405,58.1494,124.324,1,0.000384615,2,84
406,-16.0198,-49.1824,1,0.000384615,116,28
407,55.9286,85.5063,1,0.000384615,69,9
408,-13.5198,-47.7321,1,0.000384615,106,29
409,45.3643,126.844,1,0.000384615,22,75
410,27.5548,-0.320465,1,0.000384615,61,34
411,34.9844,97.4806,1,0.000384615,10,66
412,14.8968,2.80586,1,0.000384615,65,34
413,29.8499,8.15834,1,0.000384615,23,38
414,41.6996,-99.5376,1,0.000384615,5,13
415,-7.30702,-40.4448,1,0.000384615,53,78
416,41.55,98.0908,1,0.000384615,19,98
417,71.5361,178.871,1,0.000384615,2,38
418,-86.3766,-28.2548,1,0.000384615,7,33
419,11.1515,-69.9732,1,0.000384615,101,63
420,51.6512,-121.59,1,0.000384615,10,7
421,41.6646,-120.689,1,0.000384615,41,19
422,46.2577,136.289,1,0.000384615,13,76
423,-30.0041,-58.9022,1,0.000384615,105,15
424,48.3365,-4.32307,1,0.000384615,24,50
425,30.8863,-102.319,1,0.000384615,16,7
426,38.7708,93.9861,1,0.000384615,8,66
427,6.89799,101.915,1,0.000384615,76,60
428,0.982867,23.8588,1,0.000384615,107,97
429,34.4108,47.963,1,0.000384615,147,94
430,16.0734,101.443,1,0.000384615,34,64
431,21.2004,43.3604,1,0.000384615,104,98
432,37.2805,110.898,1,0.000384615,111,76
433,23.7622,45.4177,1,0.000384615,67,57
434,45.3193,-70.1693,1,0.000384615,82,53
435,53.7967,77.1917,1,0.000384615,98,6
436,56.8421,121.341,1,0.000384615,31,81
437,12.4132,106.968,1,0.000384615,16,66
438,4.06037,-62.0186,1,0.000384615,19,13
439,62.791,30.3227,1,0.000384615,37,72
440,-8.03473,31.229,1,0.000384615,36,94
441,15.5397,34.131,1,0.000384615,32,48
442,61.476,82.8783,1,0.000384615,16,82
443,-25.879,143.835,1,0.000384615,10,68
444,-1.78024,126.633,1,0.000384615,1,10
445,57.1321,123.179,1,0.000384615,12,83
446,-16.5587,-49.5945,1,0.000384615,15,14
447,56.7191,84.424,1,0.000384615,79,8
448,-10.1141,-46.4795,1,0.000384615,4,15
449,44.1204,127.132,1,0.000384615,34,97
450,26.627,0.956787,1,0.000384615,81,32
451,36.9594,97.8723,1,0.000384615,7,5
452,13.9969,4.11063,1,0.000384615,127,48
453,28.7401,8.28741,1,0.000384615,45,46
454,41.2591,-102.301,1,0.000384615,4,8
455,-6.77173,-41.2669,1,0.000384615,72,76
456,40.8847,99.3834,1,0.000384615,29,97
457,72.2595,-177.064,1,0.000384615,2,7
458,-83.8286,-17.2714,1,0.000384615,62,37
459,9.80998,-69.2572,1,0.000384615,61,67
460,51.5367,-122.106,1,0.000384615,10,7
461,42.8932,-117.831,1,0.000384615,1,13
462,46.5936,139.573,1,0.000384615,14,76
463,-31.0792,-56.3551,1,0.000384615,94,73
464,46.3728,-2.40703,1,0.000384615,10,64
465,30.8446,-100.996,1,0.000384615,21,46
466,37.0899,94.5298,1,0.000384615,47,95
467,6.33339,100.706,1,0.000384615,56,62
468,2.37985,26.3738,1,0.000384615,98,98
469,32.139,47.6715,1,0.000384615,65,57
470,16.703,102.451,1,0.000384615,24,65
471,19.0634,46.1633,1,0.000384615,75,91
472,37.2935,110.663,1,0.000384615,111,76
473,24.15,43.6388,1,0.000384615,115,97
474,45.5478,-71.668,1,0.000384615,38,45
475,52.8451,77.2152,1,0.000384615,97,6
476,55.1037,119.781,1,0.000384615,10,76
477,12.0715,105.193,1,0.000384615,55,62
478,3.79393,-63.1765,1,0.000384615,21,61
479,62.2028,33.3505,1,0.000384615,9,75
480,-7.96258,32.1707,1,0.000384615,27,95
481,14.6478,33.7755,1,0.000384615,3,41
482,62.2962,88.1127,1,0.000384615,8,83
483,-25.3334,144.379,1,0.000384615,11,68
484,-3.24638,123.849,1,0.000384615,10,19
485,57.8027,122.953,1,0.000384615,12,83
486,-17.1415,-49.5813,1,0.000384615,15,14
487,55.5391,86.0919,1,0.000384615,69,9
488,-11.9395,-45.2843,1,0.000384615,71,76
489,45.4082,128.056,1,0.000384615,4,90
490,29.3666,1.48581,1,0.000384615,70,33
491,36.4677,97.985,1,0.000384615,7,5
492,14.2446,3.02629,1,0.000384615,55,35
493,29.7985,9.65891,1,0.000384615,35,47
494,40.88,-102.288,1,0.000384615,4,8
495,-6.06515,-42.2175,1,0.000384615,63,77
496,42.065,100.62,1,0.000384615,28,3
497,72.4071,-176.609,1,0.000384615,2,7
498,-84.9551,-29.8619,1,0.000384615,35,30
499,10.4527,-69.9701,1,0.000384615,6,14
500,50.2379,-121.722,1,0.000384615,20,6
501,43.0566,-118.61,1,0.000384615,22,6
502,45.9312,136.747,1,0.000384615,24,75
503,-32.2207,-55.9273,1,0.000384615,104,72
504,47.6228,-2.84155,1,0.000384615,1,40
505,29.6023,-104.544,1,0.000384615,29,45
506,38.4914,92.6863,1,0.000384615,16,4
507,8.22651,100.611,1,0.000384615,85,69
508,1.1255,23.2687,1,0.000384615,106,97
509,33.5496,47.6503,1,0.000384615,5,53
510,16.7962,101.075,1,0.000384615,53,62
511,20.8938,43.5916,1,0.000384615,86,55
512,35.5749,110.257,1,0.000384615,122,75
513,24.1515,45.1954,1,0.000384615,66,57
514,44.7161,-71.6877,1,0.000384615,8,48
515,52.258,76.463,1,0.000384615,97,6
516,54.8805,120.343,1,0.000384615,39,73
517,11.5638,105.65,1,0.000384615,26,65
518,3.30932,-62.1367,1,0.000384615,29,12
519,63.2211,30.3405,1,0.000384615,37,72
520,-8.08946,32.0604,1,0.000384615,27,95
521,14.9669,35.3408,1,0.000384615,33,48
522,62.9877,81.0285,1,0.000384615,63,70
523,-26.8133,143.418,1,0.000384615,38,20
524,-2.45085,124.762,1,0.000384615,22,66
525,57.4327,128.021,1,0.000384615,1,77
526,-18.4983,-48.5685,1,0.000384615,56,10
527,55.6685,83.5833,1,0.000384615,99,6
528,-12.6455,-45.6726,1,0.000384615,91,74
529,44.4951,127.924,1,0.000384615,14,99
530,27.5312,0.0466461,1,0.000384615,61,34
531,35.8626,97.2944,1,0.000384615,7,99
532,14.0233,3.82062,1,0.000384615,37,37
533,29.9627,7.64375,1,0.000384615,23,38
534,41.0016,-103.013,1,0.000384615,5,8
535,-7.22465,-40.9075,1,0.000384615,53,78
536,42.2799,97.1406,1,0.000384615,9,99
537,70.7139,175.643,1,0.000384615,11,6
538,-84.5374,-27.337,1,0.000384615,16,32
539,10.2009,-69.9918,1,0.000384615,6,14
540,51.4754,-121.714,1,0.000384615,10,7
541,43.2368,-120.721,1,0.000384615,40,19
542,46.9457,138.126,1,0.000384615,4,77
543,-31.6944,-57.4468,1,0.000384615,74,75
544,46.6239,-4.12158,1,0.000384615,9,64
545,31.6227,-103.038,1,0.000384615,6,8
546,38.5394,95.5419,1,0.000384615,27,97
547,7.53506,101.9,1,0.000384615,75,60
548,1.54523,23.7525,1,0.000384615,93,42
549,33.611,48.1119,1,0.000384615,5,53
550,15.1901,101.132,1,0.000384615,158,14
551,19.9626,44.8575,1,0.000384615,85,90
552,37.4834,108.728,1,0.000384615,140,73
553,24.4119,45.963,1,0.000384615,126,96
554,45.2724,-70.9026,1,0.000384615,28,46
555,52.7926,78.0862,1,0.000384615,107,5
556,55.6445,123.467,1,0.000384615,32,81
557,12.1716,105.359,1,0.000384615,55,62
558,4.12031,-62.8268,1,0.000384615,19,13
559,62.6579,33.5426,1,0.000384615,9,75
560,-8.30934,30.8962,1,0.000384615,36,94
561,14.7723,35.3011,1,0.000384615,33,48
562,61.4669,80.8487,1,0.000384615,6,83
563,-24.2698,144.052,1,0.000384615,30,21
564,-3.50595,125.98,1,0.000384615,120,22
565,56.7517,126.473,1,0.000384615,20,75
566,-17.0778,-50.5472,1,0.000384615,99,73
567,56.1821,87.3914,1,0.000384615,109,5
568,-13.1834,-47.1485,1,0.000384615,70,76
569,44.4293,127.958,1,0.000384615,14,99
570,28.1891,1.24414,1,0.000384615,52,35
571,35.8405,96.3476,1,0.000384615,8,99
572,15.0465,2.91423,1,0.000384615,65,34
573,28.4903,9.64098,1,0.000384615,14,39
574,41.4943,-101.325,1,0.000384615,4,8
575,-4.93473,-44.2124,1,0.000384615,93,74
576,42.5457,100.519,1,0.000384615,28,3
577,71.1469,-178.638,1,0.000384615,1,7
578,-84.4786,-23.6696,1,0.000384615,119,31
579,11.816,-69.0011,1,0.000384615,72,66
